cleaned_text,char_count,word_count,exclamation_count,has_url,label_encoded,label
goal! arsenal 4 henry 7 v liverpool 2 henry scores with a simple shot from 6 yards from a pass by bergkamp to give arsenal a 2 goal margin after 78 mins,152,32,1,0,1,spam
they said if its gonna snow it will start around 8 or 9 pm tonite! they are predicting an inch of accumulation,110,22,1,0,0,ham
aah bless! how s your arm?,26,6,1,0,0,ham
oh k i will come tomorrow,25,6,0,0,0,ham
what s happening with you have you gotten a job and have you begun registration for permanent residency,103,18,0,0,0,ham
lemme know when you re here,27,6,0,0,0,ham
do you want a new video phone? 600 anytime any network mins 400 inclusive video calls and downloads 5 per week free deltomorrow call 08002888812 or reply now,157,28,0,0,1,spam
i dont want to hear anything,28,6,0,0,0,ham
hi its kate can u give me a ring asap xxx,41,11,0,0,0,ham
your account has been refilled successfully by inr lt decimal gt your keralacircle prepaid account balance is rs lt decimal gt your transaction id is kr lt gt,158,28,0,0,0,ham
a guy who gets used but is too dumb to realize it,49,12,0,0,0,ham
so that means you still think of teju,37,8,0,0,0,ham
free for 1st week! no1 nokia tone 4 ur mobile every week just txt nokia to 8077 get txting and tell ur mates url pobox 36504 w45wq 16 norm150p tone,147,30,1,1,1,spam
i think i am disturbing her da,30,7,0,0,0,ham
you have 1 new message please call 08718738034,46,8,0,0,1,spam
its ok called mom instead have fun,34,7,0,0,0,ham
hmmm but you should give it on one day,38,9,0,0,0,ham
da my birthdate in certificate is in april but real date is today but dont publish it i shall give you a special treat if you keep the secret any way thanks for the wishes,171,35,0,0,0,ham
send a logo 2 ur lover 2 names joined by a heart txt love name1 name2 mobno eg love adam eve 07123456789 to 87077 yahoo! pobox36504w45wq txtno 4 no ads 150p,156,31,1,0,1,spam
get 3 lions england tone reply lionm 4 mono or lionp 4 poly 4 more go 2 url the original n best tones 3gbp network operator rates apply,135,28,0,1,1,spam
i tot u reach liao he said t shirt,34,9,0,0,0,ham
hello how u doing?what u been up 2?when will u b moving out of the flat cos i will need to arrange to pick up the lamp etc take care hello caroline!,148,32,1,0,0,ham
which is weird because i know i had it at one point,51,12,0,0,0,ham
for your chance to win a free bluetooth headset then simply reply back with adp,79,15,0,0,1,spam
dai what this da can i send my resume to this id,48,12,0,0,0,ham
you can donate 2 50 to unicef s asian tsunami disaster support fund by texting donate to 864233 2 50 will be added to your next bill,132,27,0,0,1,spam
ummmmmaah many many happy returns of d day my dear sweet heart happy birthday dear,82,15,0,0,0,ham
had the money issue weigh me down but thanks to you i can breathe easier now i ll make sure you dont regret it thanks,117,25,0,0,0,ham
me too watching surya movie only after 6 pm vijay movie pokkiri,63,12,0,0,0,ham
well welp is sort of a semiobscure internet thing,49,9,0,0,0,ham
ok lor wat time finish?,23,5,0,0,0,ham
want 2 get laid tonight? want real dogging locations sent direct 2 ur mob? join the uk s largest dogging network by txting moan to 69888nyt ec2a 31p msg 150p,157,30,0,0,1,spam
dating i have had two of these only started after i sent a text to talk sport radio last week any connection do you think or coincidence?,137,27,0,0,1,spam
joy s father is john then john is the of joy s father if u ans ths you hav lt gt iq tis s ias question try to answer,116,29,0,0,0,ham
sometimes we put walls around our hearts not just to be safe from getting hurt but to find out who cares enough to break the walls amp get closer goodnoon,154,30,0,0,0,ham
nothing much chillin at home any super bowl plan?,49,9,0,0,0,ham
